,Glyph,Keep,English+,English Tailored
112,👻,TRUE,"Banquo, Peekaboo, Spookie, Ghost","Sentient Bedsheet, Now You See Me, Casper Jr., Just Ghosted, Spiritually Unavailable, I'm Possessed, Tuff Ghost"
113,💀,TRUE,"Noggin, Yorick, Scully","Legit Dying, Alas Poor Yorick, Has Left The Chat, Dead 2 Me, Terminally Online"
114,☠️,TRUE,"Bones, Yarr, Landlubber","Grave Mistake, Dead Serious, Skeleton Crew, Bone Dry"
115,👽,TRUE,"Alien, Vulcan, Klingon, Beeblebrox, E.T., Zim, Moonwalker, Roswell, Mulder, Scully, Aquarius","Life On Mars, Roswell Resident, I Want To Believe, Super Graphic Ultra Modern Girl"
116,👾,TRUE,"Glitch, Alien, Pixel, Invader",Public Space Invader
117,🤖,TRUE,"Roboto, Beep-Boop, Machine, C3PO, R2D2","I’ll Be Back, Domo Arigato Mr Roboto, Singularity Cometh, America's Next Top Model, Recursive Thoughts, BRB Hallucinating, Blame It On AI"
118,🎃,TRUE,"Pumpkin, Gourd, Jack-O-Lantern","Vocal Gourd, Totally Gourdgeous, Jack O Lantern, Pumpkin Patch, Pumpkin Eater, Pumpkin Carver, Sleepy Hollow, Pumpkin Spice Industrial Complex"
119,😺,TRUE,"Cat, Kitty, Kitten, Feline, Meow","Cat's Meow, Witty Kitty"
120,😸,FALSE,,
121,😹,FALSE,,
122,😻,TRUE,Kitty,Meow-Wow
123,😼,FALSE,,Sufferin Succotash
124,😽,FALSE,,
125,🙀,FALSE,,
126,😿,FALSE,,
127,😾,FALSE,,
128,🫶,TRUE,"Bestie, Pardner, Amiga, Compadre, BFF","Just Friends, Love U, Lowkey Obsessed, Bless Your Heart, Love That For You, Oh Honey"
129,🤲,TRUE,Peekaboo,"Seek Cover, Ten Finger Club"
130,👐,FALSE,,
131,🙌,TRUE,Amen,"Thanks For Trying, The Bar Was Low, Bare Minimum Achieved, At Least We Tried, Good Enough"
132,👏,TRUE,Clap,"Slow Clap, Please Clap, Standing Ovation, Make Some Noise"
133,🤝,TRUE,Shake,"Let's Make A Deal, Shawinigan Handshake"
134,👍,TRUE,"Thumb, Hangnail","Hope This Helps, Thoughts N Prayers"
135,👎,TRUE,Goodbye,"No Thanks, Unsubscribe Me, Me No Likey, Hard Pass, Zero Stars, Wrong Answer, No From Me Dawg, I Vote Nope"
136,👊,TRUE,"Punch, Bam, Smack, Pow, Fisticuff, Kapow, Clobber, Wallop, Bop, Thump, Sock, Wham, Knuckle, Slug, Dust-Up, Throwdown, Ruckus, Fracas","Hard Knox, Knuckle Sandwich, Knuckle Taco, Knuckle Pierogi, Knuckle Burrito, Knuckle Quesadilla, Knuckle Panini, Knuckle Pita, Knuckle Calzone, Knuckle Stromboli"
137,✊,TRUE,"Uppercut, Solidarity","Solidarity Comrade, March On, Hold Fast, Rise Up, Liberation Now"
138,🤛,TRUE,Haymaker,Right Hook
139,🤜,TRUE,Knuckle,Left Hook
140,🫷,TRUE,Nuh-Uh,To The Window
141,🫸,TRUE,Hol-Up,To The Wall
142,🤞,TRUE,"Prayer, Jinx","Plsplsplsplspls, Please Please Please, Pinky Swearn't"
143,✌️,TRUE,"Doppelganger, Toonie, Peace","Peace Out Girl Scout, Air Quotes"
144,🫰,TRUE,"Snappity, Snap, Lil Heart","Whipper Snapper, Snap Judgement "
145,🤟,TRUE,"Cowabunga, Rocker",Party On Wayne
146,🤘,TRUE,"Doozy, Punk, Rocky",Party On Garth
147,👌,TRUE,Swell,"No Notes, Nice Work, Chef's Kiss, Top Marks, All Gucci My Tucci, Well Played M'lady"
148,🤌,TRUE,Bellissimo,
149,🤏,TRUE,Pinch,"Just A Pinch, Back in a Pinch"
150,🫳,FALSE,Simmer,
151,🫴,FALSE,Grasp,
152,👈,TRUE,"Leftie, This-A-Way",Go West Young Man
153,👉,TRUE,"Trigger, That-A-Way",Go East Young Lady
154,👆,TRUE,Liftoff,Look It Up
155,👇,TRUE,Drop,When They Go High
156,☝️,TRUE,"Question, Hollup",E.T. Speed Dial
157,✋,TRUE,Palm,"High Five Me Brotha, Dap Me Up, Woah Nelly, Hol Up"
158,🤚,TRUE,Scratch,I Come In Peace
159,🖐️,TRUE,Hiya,
160,🖖,TRUE,Vulcan,"The Final Frontier, Beam Me Up, Live Long And Prosper"
161,👋,TRUE,Wazzup,"See Ya Later!, Ciao For Now"
162,🤙,TRUE,Ayyyyy,"Hang Loose, Call Me, All Good My Liege"
163,🫲,TRUE,Attaway,This Way Sir
164,🫱,FALSE,,
165,💪,TRUE,Flex,"Elbow Grease, Arm Wrestler, Iron Therapy, Vice Grip, No Gains No Glory, Muscles Loading, Subtle Flex, PR or ER"
166,🦾,TRUE,Gains,
167,🖕,FALSE,,
168,✍️,TRUE,Trouble,"Duly Noted, Deadline Looming, First Draft, Wrist Cramp, Scripting My Downfall, Autocorrect Is For Cowards, Chicken Scratch, Medical Typography"
169,🙏,TRUE,Friendship,
170,🫵,TRUE,U,All You Honey Boo
171,🦶,TRUE,"Bunion, Foot, Hoof, Tootsies","The Barefoot Contessa, Stompin on Grapes, Natural Wine"
172,🦵,TRUE,Leg,"Leg Day, Off Balance, Hittin My Stride, Final Sprint"
173,🦿,TRUE,Footstep,
174,💄,TRUE,Lipstick,Pout Paint
175,💋,TRUE,Smoochy,"Zoubi Zoubi Zou, Chef's Kiss, Mwah Mwah, XOXO Gossip Girl, I'm Irish, Pucker Up, Hershey Kisses, Amused Bouche"
176,👄,TRUE,Lip,"Lip Sync, Science Fiction Double Feature"
177,🫦,TRUE,Yowza,Antici…pation
178,🦷,TRUE,Toof,"Open Wide, Bullet Biter, Sweet Toof, Baby Toof, Jaw Breaker, Root Cause, Pearly Whites, Fangs Out"
179,👅,TRUE,Tongue,"Tongue Twister, Stickin Out, Lickety Split, Tongue Tied, Sweet Talk"
180,👂,TRUE,Ear,"Play It By Ear, Tinnitus Young"
181,🦻,FALSE,,
182,👃,TRUE,"Schnozz, Sniffer, Honker, Beak, Snoot","Smells Off, Up To Snuff, Sniff Sniff, Under Your Nose, Rotten in Denmark, Smells Like Teen Spirit, No One Nose"
183,👣,TRUE,Feet,
184,👁️,TRUE,Iris,
185,👀,TRUE,Gaze,"Eye Contact, Eye On The Prize, I Spy, Eye Candy, Watch Out, Seeing Double, Big Brother, The Hills Have Eyes, Eyes Wide Shut, Side Eye, Blink Twice, Caught Me Lookin, Plain Sight, Staring Contest, Double Take, Sneak Peek, I See Everything"
186,🫀,TRUE,"Valve, Thumper, EKG, Hubba-Hubba, Rhythm","Hubba Hubba, Caught Me Skippin"
187,🫁,TRUE,"Windpipe, Wheezer, Gasbag",Huffin N Puffin
188,🧠,TRUE,Brains,Mind The Gap
189,🗣️,TRUE,Jake,
190,👤,TRUE,Shadow,
191,👥,FALSE,,
192,🫂,FALSE,,
193,👶,TRUE,Baby,
194,👧,TRUE,Terror,
195,🧒,TRUE,Junior,
196,👦,TRUE,Menace,
197,👩,TRUE,,
198,🧑,TRUE,Adult,
199,👨,TRUE,Dude,
200,👩‍🦱,TRUE,,
201,🧑‍🦱,TRUE,Curly,
202,👨‍🦱,TRUE,Curly,
203,👩‍🦰,TRUE,,
204,🧑‍🦰,TRUE,,
205,👨‍🦰,TRUE,Ed,
206,👱‍♀️,TRUE,Blondie,
207,👱,TRUE,,
208,👱‍♂️,TRUE,Wiseguy,
209,👩‍🦳,TRUE,,
210,🧑‍🦳,TRUE,,
211,👨‍🦳,TRUE,,
212,👩‍🦲,TRUE,,
213,🧑‍🦲,TRUE,Caillou,Yung Mr. Clean
214,👨‍🦲,TRUE,"Mr. Clean, Pitbull, Tucci, Vin Diesel, Terry, Fantano, Howie",
215,🧔‍♀️,TRUE,,
216,🧔,TRUE,Beard,
217,🧔‍♂️,TRUE,Beard,
218,👵,TRUE,Grandma,
219,🧓,TRUE,Folk,
220,👴,TRUE,Grandpa,
221,👲,TRUE,,
222,👳‍♀️,TRUE,,
223,👳,TRUE,,
224,👳‍♂️,TRUE,,
225,🧕,TRUE,"Hijabi, Habibti",
226,👮‍♀️,FALSE,Snitch,
227,👮,FALSE,Po-Po,
228,👮‍♂️,FALSE,Bossypants,
229,👷‍♀️,TRUE,Wendy,
230,👷,TRUE,Montreal,
231,👷‍♂️,TRUE,"Jimmy, Bob",
232,💂‍♀️,TRUE,Headband,Avant Guard
233,💂,TRUE,Trudeau,
234,💂‍♂️,TRUE,Beefeater,"Comedy Fan, Don't Make Me Laugh"
235,🕵️‍♀️,TRUE,"Spy, Scully, Carmen",
236,🕵️,TRUE,Snoop,
237,🕵️‍♂️,TRUE,"Sherlock, Watson, Inspector",
238,👩‍⚕️,TRUE,Doc,
239,🧑‍⚕️,TRUE,Doc,
240,👨‍⚕️,TRUE,Dentist,
241,👩‍🌾,TRUE,Farmer,Avant Gardener
242,🧑‍🌾,TRUE,"Jimmy, Cletus, Jebediah, Elmer, Homer, Bubba, Thaddeus, Hank, Judd, Jeb, Clyde, Cornelius",Don't Bet The Farm
243,👨‍🌾,TRUE,Rye Guy,
244,👩‍🍳,TRUE,"Cook, Confectionista, Chef, Sous Chef, Ina, Martha, Nigella",Let Her Cook
245,🧑‍🍳,TRUE,"Chef, Sous Chef, Cook, Linguini, Remy",Let Them Cook
246,👨‍🍳,TRUE,"Sous Chef, Chef, Cook, Bourdain, Fieri, Ramsay, Jamie","Let Him Cook, Chet Baker"
247,👩‍🎓,TRUE,Genius,
248,🧑‍🎓,TRUE,Guildenstern,
249,👨‍🎓,TRUE,Graduate,
250,👩‍🎤,TRUE,"Céline, Beyoncé, Chappell, Dua",
251,🧑‍🎤,TRUE,Gaga,
252,👨‍🎤,TRUE,Bowie,
253,👩‍🏫,TRUE,Professor,
254,🧑‍🏫,TRUE,Knowledge,
255,👨‍🏫,TRUE,Tutor,
256,👩‍🏭,TRUE,"Machinist, Comrade",
257,🧑‍🏭,TRUE,Blowtorch,
258,👨‍🏭,TRUE,Union,
259,👩‍💻,TRUE,Hacker,
260,🧑‍💻,TRUE,"Sam, Guillaume, Jake, David, Abby, Alexandre, Alice, Alli, Allison, Anaïs, Anissa, Annie, Ayser, Béa, Beth, Boris, Brigitte, Brody, Cameron, Camille, Carole-Anne, Cat, Christina, Christine, Dallas, Dana, David, Dimitri, Dongah, Eli, Émilie, Emily, Éric, Étienne, Evan, Félix, Fenella, Flavien, Florian, Gregory, Hannah, Ivana, Jeremy, Jérôme, Jessica, Joe, Joëlle, Jonathan, Josée, Josh, Juan, Julien, Kaj, Kerra, Laura, Laurence, Lawrence, Luc, Marco, Marie, Marisa, Maude, Maxime, Michel, Minerva, Nancy, Nathan, Nicolas, Noah, Pedro, Peter, Quentin, Richard, Rodrigo, Roman, Samuel, Sara, Stéphanie, Stephanie, Stephen, Tim, Quân, Valérie, Vincent, William, Xavier, Yann, Mike, Estelle, ","Laura Aura, Boolean Julien, Peter By The Litre, Act of Rod, Sam on the Lam, Double Helix Felix, Ridicolas Nicolas, The Dawn of Quan, Baked Jake, Grade Separated David, Sweetly Dimitri, Rebel Michel, Contrarily Jeremy, Alli in Cali, Epistemically Emily, Jessica Poetica, Global Mogul Mobile Sam, Richard Bewitcher, Be My Eli, Good Egg Agreg, Can’t Contain Dana, Ballads for Dallas, Roamin Guillaume, Dat Cat, Gallerie de Valerie, Uncanny Annie, Intergalactic Allison, Swell Estelle, Anais Unleashed, Clamorous Cameron, Kaj In The Sky, Yogi Brody, Maude Squad, Fancy Nancy, Stephen For All Seasons, Savvy Abby, Alice Borealis, Kaiser Ayser, Deft Beth, Can’t Beat Brigitte, MC Camille, Alphanumeric Derek, Florian’s DeLorean, Parallax Max, Loop de Luc, Prince Vincent, Xavier For Days, Sesame Stephanie, Unmistakably Stéphanie, In My Sara Era, I Hardly Noah, Roman À Clef, Marie Or Not Marie?, Chimaera Kerra, Juan in a Million, Prima Ivana, Tim For The Win, Pedro Tornado, Remarkable Marco, Declaration of Nathan, Hannah The Commandah, Allegedly Gregory, Nonchalant Jonathan, Minerva Fervour, Fenella A Cappella, At Evan’s Discretion, Éric Emeritus, Depend On Étienne, Carole-Anne With A Plan, Boris Restore Us, Smitten Christine, Yosemite Émilie, Lawrence Torrents, Encsonced Laurence, Himalaya Béa, Qommissar Quentin, Anissa Da Twista, Flavourful Flavien, Mariachi Marisa, Will On A Hill, Chrome Jérôme, Deus Ex Christina"
261,👨‍💻,TRUE,Clickbait,
262,👩‍💼,TRUE,"Suit, Pam, Kelly, Angela, Phyllis, Jan, Helly, Cobel, Natalie",
263,🧑‍💼,TRUE,"Conformist, Jim",
264,👨‍💼,TRUE,"Drone, Creed, Dwight, Michael, Bateman, Mark, Dylan, Irving, Burt, Milchick",
265,👩‍🔧,TRUE,"Reno, Rosie",
266,🧑‍🔧,TRUE,Fix,
267,👨‍🔧,TRUE,Handyman,Reverse Engineer
268,👩‍🔬,TRUE,Chemist,
269,🧑‍🔬,TRUE,Science,
270,👨‍🔬,TRUE,Mixologist,Trial And Error
271,👩‍🎨,TRUE,Fauvist,
272,🧑‍🎨,TRUE,Maestro,
273,👨‍🎨,TRUE,Picasso,
274,👩‍🚒,FALSE,Blaze,
275,🧑‍🚒,FALSE,Hunk,
276,👨‍🚒,FALSE,Pyro,
277,👩‍✈️,TRUE,Amelia,
278,🧑‍✈️,TRUE,"Topgun, Captain, Aviator, Pilot, Ace, Cockpit",
279,👨‍✈️,TRUE,Leo,Catch Me If You Can
280,👩‍🚀,TRUE,Payette,Uptown Girl
281,🧑‍🚀,TRUE,Hitchhike,
282,👨‍🚀,TRUE,Shatner,
283,👩‍⚖️,TRUE,"Gavel, Judy, Elle","What? Like It's Hard?, Only Judy Can Judge Me"
284,🧑‍⚖️,TRUE,Honor,
285,👨‍⚖️,TRUE,Judge,"Mental Judge, LOL Overruled"
286,👰‍♀️,TRUE,Bride,
287,👰,TRUE,Julia,
288,👰‍♂️,TRUE,,
289,🤵‍♀️,TRUE,Croupier,
290,🤵,TRUE,Tuxedo,
291,🤵‍♂️,TRUE,Groom,
292,👸,TRUE,Princess,
293,🫅,TRUE,"Emperor, Diana",
294,🤴,TRUE,Hamlet,Throne Depot
295,🥷,TRUE,"Ninja, Sensei, Katana, Shadow, Assassin, Naruto, Samurai, Shogun",Cappuccino Assassino
296,🦸‍♀️,TRUE,"Xena, Blossom, Bubbles, Buttercup",
297,🦸,TRUE,Vigilante,
298,🦸‍♂️,TRUE,Superman,
299,🦹‍♀️,TRUE,Cruella,Bad Mamma Jamma
300,🦹,TRUE,Felon,
301,🦹‍♂️,TRUE,Zorro,
302,🤶,TRUE,Claus,
303,🧑‍🎄,TRUE,Claus,
304,🎅,TRUE,Santa,"Chimney Plunger, Beard Game Strong"
305,🧙‍♀️,TRUE,"Witch, Enchantress, Elphaba, Glinda, Sabrina, Zelda, Hilda",
306,🧙,TRUE,Oz,
307,🧙‍♂️,TRUE,"Wizard, Gandalf, Headmaster, Mage",
308,🧝‍♀️,TRUE,Elf,
309,🧝,TRUE,Dobby,
310,🧝‍♂️,TRUE,Legolas,
311,🧌,TRUE,"Troll, Ogre, Trololo, Shrek, Rumpelstiltskin",
312,🧛‍♀️,TRUE,"Vampire, Bella, Volturi, Raven, Way, Akasha, Dark'ness, Elvira, Nadja, Buffy, Phlebotomist","My Immortal, Revere the Immortal"
313,🧛,TRUE,"Vlad, Nosferatu, Edward, Lestat, Louis, Vampire, Phlebologist","Garlic Allergy, The Baseball Scene"
314,🧛‍♂️,TRUE,"Dracula, Fang, Vampire, Lestat, Louis, Nandor, Laszlo, Viago","Pain In The Neck, Bat Tamer, Vampire Weekday"
315,🧟‍♀️,TRUE,Zombie,
316,🧟,TRUE,MJ,Where's My Coffee
317,🧟‍♂️,TRUE,"Boyfriend, Shaun",
318,🧞‍♀️,TRUE,"Cortana, Siri, Alexa","Genie In A Bottle, I Dream of Genie"
319,🧞,TRUE,Robin,
320,🧞‍♂️,TRUE,Genie,Never Had A Friend Like Me
321,🧜‍♀️,TRUE,"Mermaid, Ariel, Siren",
322,🧜,TRUE,"Brine, Siren, Flipper",
323,🧜‍♂️,TRUE,"Merman, Poseidon, Triton, Neptune",
324,🧚‍♀️,TRUE,"Tinkerbell, Feyre, Fairy, Winx, Wanda",Midsummer Night
325,🧚,TRUE,"Puck, Oberon",
326,🧚‍♂️,TRUE,Cosmo,
327,👼,TRUE,"Cupid, Cherub, BB, Angel",
328,🤰,TRUE,Bébé,
329,🫄,TRUE,Bébé,
330,🫃,TRUE,Bébé,"Casus Belly, Pyloric Valve"
331,🤱,FALSE,,
332,👩‍🍼,TRUE,,
333,🧑‍🍼,FALSE,,
334,👨‍🍼,FALSE,,
335,🙇‍♀️,TRUE,,
336,🙇,FALSE,,
337,🙇‍♂️,TRUE,"Butler, Footman, Steward, Squire, Curtsey",
338,💁‍♀️,FALSE,Promotion,
339,💁,FALSE,,
340,💁‍♂️,FALSE,Toupée,
341,🙅‍♀️,TRUE,Nope,
342,🙅,FALSE,Nope,
343,🙅‍♂️,FALSE,Nope,
344,🙆‍♀️,TRUE,Stretch,
345,🙆,FALSE,Stretch,
346,🙆‍♂️,FALSE,Stretch,
347,🙋‍♀️,TRUE,Enthusiasm,
348,🙋,TRUE,Enthusiasm,
349,🙋‍♂️,TRUE,Enthusiasm,Goody Two-Shoes
350,🧏‍♀️,FALSE,,
351,🧏,FALSE,,
352,🧏‍♂️,FALSE,,
353,🤦‍♀️,TRUE,Facepalm,
354,🤦,FALSE,Facepalm,
355,🤦‍♂️,TRUE,"Facepalm, Jean-Luc",
356,🤷‍♀️,TRUE,Shrug,
357,🤷,FALSE,,
358,🤷‍♂️,TRUE,"Whatever, Apathy, IDK, Shimmy",
359,🙎‍♀️,TRUE,Karen,
360,🙎,FALSE,Narc,
361,🙎‍♂️,TRUE,Narc,
362,🙍‍♀️,TRUE,Narc,
363,🙍,FALSE,,
364,🙍‍♂️,TRUE,,
